a=0.07169975884004012;b=-0.08671562139068664;c=2.8466541709180917;correlation coefficient=0.7651332923340044;p value=1.1656381375456913e-13
1	2.2028	1.6474	2.7537
2	1.7727	1.2412	2.3185
3	1.6923	1.1664	2.2345
4	1.0418	0.5066	1.5848
5	1.5853	1.0720	2.1097
6	2.2469	1.6970	2.7970
7	2.4237	1.8631	2.9864
8	1.3431	0.8615	1.8362
9	0.6104	0.1052	1.1205
10	0.8794	0.4506	1.3195
11	0.6020	0.0557	1.1283
12	0.6423	0.0776	1.1783
13	1.0198	0.4639	1.5124
14	1.4834	0.9943	1.9275
15	2.2208	1.7877	2.6102
16	1.7979	1.3002	2.2271
17	1.8944	1.4215	2.3022
18	1.1437	0.6940	1.5691
19	1.7470	1.3725	2.0857
20	1.5492	1.1640	1.9115
21	1.9780	1.5768	2.3308
22	2.2062	1.8140	2.5553
23	1.9262	1.5754	2.2385
24	2.2364	1.9730	2.4842
25	2.1312	1.7477	2.4763
26	2.2346	1.9755	2.4787
27	2.1994	1.9394	2.4464
28	2.1800	1.9184	2.4209
29	2.2854	2.0597	2.5080
30	2.2992	2.0696	2.5136
31	2.5327	2.3065	2.7367
32	2.7641	2.5348	2.9772
33	2.9287	2.6950	3.1573
34	3.0950	2.8491	3.3288
35	3.0634	2.8179	3.3005
36	3.0948	2.8501	3.3301
37	3.4609	3.1611	3.7567
38	3.4947	3.1880	3.7849
39	3.3580	3.0823	3.6250
40	3.2548	2.9954	3.5062
41	3.2431	2.9816	3.4891
42	3.2137	2.9685	3.4700
43	3.1389	2.8805	3.4039
44	3.0436	2.7681	3.3206
45	3.0752	2.8156	3.3360
46	3.1399	2.8830	3.4051
47	3.1940	2.9326	3.4651
48	3.3177	3.0547	3.5910
49	3.4796	3.1883	3.7680
50	3.6412	3.3266	3.9404
51	3.8047	3.4505	4.1364
52	4.0029	3.6200	4.3806
53	4.0557	3.6615	4.4422
54	4.0760	3.6833	4.4708
55	3.9866	3.5982	4.3600
56	3.8762	3.5072	4.2132
57	4.0264	3.6428	4.3963
58	4.0040	3.6193	4.3675
59	4.0065	3.6151	4.3772
60	4.0731	3.6702	4.4632
61	4.6611	4.1437	5.1653
62	3.6747	3.3474	4.0026
63	3.6553	3.3303	3.9810
64	3.9914	3.5955	4.3978
65	3.7535	3.4130	4.0921
