a=-7.9206240732351745;b=-4.20589098464213;c=12.241726408486224;correlation coefficient=0.7934925751606506;p value=3.2297298825327757e-15
1	0.1152
2	0.1687
3	0.2449
4	0.3516
5	0.4933
6	0.5983
7	0.8052
8	1.0889
9	1.3621
10	1.6346
11	1.8591
12	1.9952
13	2.1402
14	2.2529
15	2.3942
16	2.3914
17	2.4333
18	2.3388
19	2.4105
20	2.3657
21	2.4045
22	2.4035
23	2.3298
24	2.3519
25	2.3580
26	2.3659
27	2.3897
28	2.4325
29	2.4966
30	2.5815
31	2.7098
32	2.8218
33	2.9112
34	2.9857
35	3.0207
36	3.0961
37	3.2589
38	3.3949
39	3.5166
40	3.6524
41	3.8065
42	3.9408
43	4.0281
44	4.0606
45	4.0612
46	4.0215
47	3.9421
48	3.8522
49	3.7835
50	3.7235
51	3.6866
52	3.6867
53	3.7052
54	3.7257
55	3.7547
56	3.7940
57	3.8071
58	3.7224
59	3.5722
60	3.4003
61	3.3234
62	2.8517
63	2.6438
64	2.5462
65	2.3914
