# time,total_carbon_flux_mean (Mt C/yr),total_carbon_flux_max (Mt C/yr),total_carbon_flux_min (Mt C/yr),slab_flux (km3/yr),slab_flux_max (km3/yr),slab_flux_min (km3/yr),lithosphere_carbon_flux_mean (Mt C/yr),lithosphere_carbon_flux_max (Mt C/yr),lithosphere_carbon_flux_min (Mt C/yr),serpentinite_carbon_flux_mean (Mt C/yr),serpentinite_carbon_flux_max(Mt C/yr),serpentinite_carbon_flux_min (Mt C/yr),crust_carbon_flux_mean (Mt C/yr),crust_carbon_flux_max (Mt C/yr),crust_carbon_flux_min (Mt C/yr),crust_sediment_flux_mean (Mt C/yr),crust_sediment_flux_max (Mt C/yr),crust_sediment_flux_min (Mt C/yr)
44.0,142.254,171.796,95.998,373.55800000000005,463.28999999999996,240.39600000000002,31.826,38.426,21.326,4.986,5.764,3.6420000000000003,49.476,60.593999999999994,32.488,55.964,67.012,38.538
45.0,155.816,187.142,103.04,385.306,477.28999999999996,242.21800000000002,35.808,42.886,23.69,7.32,8.372,5.186,52.938,64.52199999999999,34.181999999999995,59.748000000000005,71.364,39.980000000000004
46.0,166.89000000000001,199.142,108.638,408.04200000000003,498.274,254.61599999999999,37.721999999999994,44.732000000000006,24.838,8.314,9.443999999999999,5.8740000000000006,55.46600000000001,66.662,35.674,65.388,78.304,42.251999999999995
47.0,163.846,196.762,105.97200000000001,405.23,498.976,250.47000000000003,38.61,46.044,25.246,8.72,10.008,5.9879999999999995,55.745999999999995,67.51199999999999,35.528,60.77,73.2,39.212
48.0,175.75400000000002,211.408,110.58600000000001,453.576,553.458,279.4,40.062,48.135999999999996,24.954,7.57,8.882,4.638,59.976,72.656,37.358000000000004,68.144,81.73599999999999,43.634
49.0,171.834,205.786,106.604,443.45200000000006,538.094,270.002,39.428,47.141999999999996,24.254,7.140000000000001,8.384,4.401999999999999,58.476,70.43199999999999,35.967999999999996,66.792,79.83000000000001,41.982
50.0,179.50799999999998,214.558,110.734,457.89,553.792,277.502,41.342,49.258,25.433999999999997,6.339999999999999,7.581999999999999,3.8099999999999996,61.196000000000005,73.47600000000001,37.486000000000004,70.636,84.244,44.004
51.0,187.702,224.38600000000002,113.81800000000001,472.23199999999997,569.9,284.912,42.788,51.053999999999995,25.862000000000002,6.651999999999999,7.9719999999999995,3.8120000000000003,62.660000000000004,75.228,37.896,75.604,90.13,46.25
52.0,202.278,239.394,122.25999999999999,511.276,610.062,306.866,46.802,55.394000000000005,28.124000000000002,6.832000000000001,8.186,3.9219999999999997,68.958,81.83399999999999,41.456,79.686,93.982,48.760000000000005
53.0,203.45,240.64600000000002,121.80799999999999,517.064,616.056,308.73400000000004,46.298,54.806,27.456,6.895999999999999,8.202,3.8980000000000006,69.796,82.82000000000001,41.64000000000001,80.462,94.816,48.82000000000001
54.0,210.89000000000001,248.53400000000002,125.52000000000001,529.388,627.242,315.82,49.434000000000005,58.438,29.003999999999998,8.244,9.892,4.6499999999999995,72.062,85.118,42.821999999999996,81.152,95.08600000000001,49.04599999999999
55.0,199.702,234.046,116.79400000000001,503.2099999999999,592.42,295.60600000000005,47.036,55.29,27.136000000000003,7.816,9.372,4.312,69.27799999999999,81.42999999999999,40.342,75.572,87.954,45.001999999999995
56.0,161.884,188.618,93.372,434.77200000000005,507.762,252.67999999999998,39.824,46.653999999999996,22.628,5.0520000000000005,5.994,2.8560000000000003,58.794000000000004,68.72200000000001,33.874,58.218,67.25000000000001,34.013999999999996
57.0,162.488,187.746,92.42999999999999,430.56399999999996,498.85200000000003,247.85999999999999,40.266,46.798,22.66,6.587999999999999,7.674000000000001,3.7980000000000005,57.86999999999999,67.094,32.80800000000001,57.761999999999986,66.176,33.166000000000004
58.0,162.88000000000002,187.32999999999998,92.284,429.332,495.3,245.484,39.298,45.339999999999996,22.006,6.622,7.678,3.8760000000000003,58.263999999999996,67.22200000000001,32.986000000000004,58.696000000000005,67.094,33.418000000000006
59.0,170.856,195.88799999999998,94.6,459.062,526.92,258.75,42.174,48.416000000000004,23.216,8.675999999999998,9.84,5.061999999999999,61.910000000000004,71.114,34.448,58.1,66.52,31.872000000000003
60.0,175.704,199.978,95.674,470.39000000000004,536.978,261.06,44.254,50.36,23.985999999999997,10.118,11.399999999999999,5.869999999999999,64.046,73.012,35.052,57.286,65.202,30.76
61.0,190.652,214.31400000000002,101.968,513.932,580.232,279.806,49.769999999999996,55.872,26.468,11.226,12.484,6.43,70.27799999999999,79.172,37.798,59.374,66.788,31.274
62.0,208.61599999999999,232.936,108.674,566.1759999999999,633.39,300.588,55.10600000000001,61.602,28.46,12.613999999999999,13.935999999999998,7.178,78.842,88.33399999999999,41.169999999999995,62.052,69.06,31.863999999999997
63.0,224.272,251.942,115.58800000000001,624.3860000000001,700.442,325.684,58.798,66.336,30.053999999999995,14.495999999999999,16.304000000000002,8.248000000000001,84.366,94.896,43.42400000000001,66.61200000000001,74.412,33.861999999999995
64.0,241.54199999999997,270.438,122.374,645.2520000000001,723.492,328.758,65.09400000000001,73.012,32.75,15.372,17.067999999999998,8.960000000000003,90.53399999999999,101.572,45.606,70.53999999999999,78.792,35.062
65.0,212.95999999999998,238.56800000000004,105.33000000000001,596.874,668.278,300.434,61.35600000000001,69.054,30.318,13.443999999999999,14.994,7.534000000000001,80.11600000000001,89.662,39.7,58.041999999999994,64.858,27.784
