a=-0.8677085668308219;b=-13.717858388835067;c=15.705347223939276;correlation coefficient=0.8216960731971806;p value=5.003070019509137e-17
1	1.1198
2	1.2661
3	1.3701
4	1.3564
5	1.5368
6	1.4566
7	1.3658
8	1.2773
9	1.2708
10	1.3784
11	1.1071
12	1.0769
13	1.1270
14	1.3620
15	1.6601
16	1.3710
17	1.5897
18	1.2499
19	1.7083
20	1.5216
21	1.6730
22	1.8301
23	1.7577
24	2.1625
25	1.7526
26	2.1128
27	2.1108
28	2.1263
29	2.4748
30	2.4490
31	2.6315
32	2.9356
33	3.2372
34	3.2109
35	3.0439
36	3.2045
37	3.3992
38	3.4567
39	3.3620
40	3.2592
41	3.3168
42	3.4534
43	3.4862
44	3.5015
45	3.4125
46	3.3957
47	3.4858
48	3.5062
49	3.7408
50	3.8438
51	3.9138
52	3.9437
53	4.0119
54	3.9319
55	3.9974
56	4.3718
57	4.5019
58	4.4508
59	4.3130
60	4.3070
61	4.6997
62	3.5166
63	3.3217
64	3.4206
65	3.5511
