a=0.06278066008447095;b=-0.07333262198418077;c=2.103417580467682;correlation coefficient=0.7356764521160336;p value=2.9438099376945903e-12
1	2.1034	1.5347	2.7497
2	1.9546	1.3905	2.5660
3	1.8804	1.3300	2.4714
4	1.8635	1.3166	2.4526
5	1.7280	1.2078	2.2967
6	1.6095	1.0904	2.1569
7	1.5749	1.0684	2.1052
8	1.7246	1.2166	2.2727
9	1.6725	1.1898	2.1766
10	1.1876	0.7678	1.6282
11	1.1068	0.6171	1.5541
12	1.0768	0.5387	1.5732
13	1.3344	0.7959	1.8287
14	1.6577	1.1716	2.1030
15	2.2719	1.8564	2.6767
16	1.9444	1.4475	2.3893
17	2.0104	1.5749	2.4114
18	1.2942	0.7963	1.7646
19	1.7860	1.4272	2.1433
20	1.6120	1.1961	2.0168
21	2.0225	1.6497	2.3774
22	2.2077	1.8668	2.5415
23	1.9029	1.5393	2.2509
24	2.1051	1.8078	2.4021
25	2.1395	1.7490	2.5155
26	2.0972	1.7808	2.4185
27	2.0620	1.7582	2.3670
28	2.0267	1.7190	2.3429
29	2.0279	1.7585	2.3143
30	2.0560	1.7860	2.3376
31	2.2739	2.0148	2.5257
32	2.4341	2.1803	2.6915
33	2.5352	2.2548	2.8164
34	2.7228	2.4818	2.9685
35	2.7349	2.5066	2.9581
36	2.7529	2.5234	2.9835
37	3.1270	2.8806	3.3753
38	3.2056	2.9542	3.4657
39	3.0810	2.8369	3.3272
40	2.9998	2.7623	3.2424
41	2.9936	2.7553	3.2344
42	2.9386	2.6935	3.1772
43	2.8554	2.6126	3.0997
44	2.7231	2.4578	2.9813
45	2.7739	2.5251	3.0185
46	2.9014	2.6628	3.1344
47	2.9532	2.7069	3.1949
48	3.1539	2.9061	3.4062
49	3.3742	3.1064	3.6523
50	3.6367	3.3226	3.9551
51	3.8741	3.5297	4.2269
52	4.2435	3.8203	4.6721
53	4.3824	3.9287	4.8422
54	4.4407	3.9786	4.9084
55	4.3130	3.8739	4.7577
56	4.0137	3.6359	4.4019
57	4.1435	3.7386	4.5644
58	4.0712	3.6799	4.4762
59	4.0741	3.6787	4.4774
60	4.1581	3.7439	4.5809
61	5.0327	4.4385	5.6368
62	3.7893	3.4566	4.1425
63	3.8034	3.4495	4.1809
64	4.3018	3.8511	4.7884
65	3.9036	3.5563	4.2789
