a=7.675522116028407;b=-9.540789198615691;c=3.153122041181796;t_delay=-0.9089623694998509;correlation coefficient=0.7989057807545956;p value=1.5282438181204427e-15
1	1.2879
2	1.3257
3	1.6056
4	1.7653
5	1.6909
6	1.7878
7	1.9141
8	1.6922
9	1.2720
10	1.2334
11	1.2624
12	0.8170
13	1.0951
14	1.3095
15	1.9888
16	1.6283
17	1.6368
18	0.9380
19	1.5267
20	1.4778
21	1.8554
22	1.9995
23	1.6900
24	1.9912
25	2.1400
26	1.9004
27	2.0646
28	2.0441
29	2.0687
30	2.2963
31	2.4982
32	2.7072
33	2.9095
34	3.0607
35	3.0021
36	3.0386
37	3.3519
38	3.4201
39	3.3008
40	3.2021
41	3.2180
42	3.2307
43	3.1784
44	3.0975
45	3.1146
46	3.1758
47	3.2457
48	3.3590
49	3.5923
50	3.7582
51	3.9345
52	4.1382
53	4.3015
54	4.2818
55	4.2842
56	4.3103
57	4.2418
58	4.1945
59	4.1213
60	4.1971
61	4.7829
62	3.6824
63	3.6318
64	3.9860
65	3.9023
