# time,sediments_min,sediments_mean,sediments_max,serpentinite_min,serpentinite_mean,serpentinite_max,serpentinite_bending_min,serpentinite_bending_mean,serpentinite_bending_max,crust_min,crust_mean,crust_max,lithosphere_min,lithosphere_mean,lithosphere_max,total_subducted_min,total_subducted_mean  (Mt C/yr),total_subducted_max,cumulative_subducted_min,cumulative_subducted_mean,cumulative_subducted_max
186,0,0,0,4.32769,8.59936,13.2922,1.23617,5.455,9.64997,15.7368,18.2123,21.3708,6.88919,11.7115,17.1148,26.9537,38.5231,51.7777,2163.54,3051.52,4072.77
187,0,0,0,4.30472,8.56502,13.2418,1.20985,5.42155,9.60957,15.3685,17.7393,20.7751,6.93152,11.5694,16.7662,26.6047,37.8738,50.783,2136.58,3013,4020.99
188,0,0,0,4.28994,8.54432,13.214,1.18805,5.3982,9.58484,15.0538,17.3324,20.2604,6.9708,11.4602,16.4905,26.3145,37.3369,49.9649,2109.98,2975.12,3970.21
189,0,0,0,4.27448,8.5266,13.1946,1.16716,5.37898,9.56739,14.7797,16.9778,19.8118,6.99718,11.3706,16.2711,26.0513,36.875,49.2774,2083.66,2937.79,3920.24
190,0,0,0,4.25324,8.50596,13.1746,1.14645,5.36183,9.55392,14.5458,16.6761,19.4308,7.01417,11.2934,16.0883,25.8132,36.4755,48.6937,2057.61,2900.91,3870.96
191,0,0,0,4.22465,8.48028,13.1499,1.12727,5.34762,9.54478,14.3572,16.4333,19.1244,7.0321,11.227,15.9273,25.6139,36.1405,48.2016,2031.8,2864.44,3822.27
192,0,0,0,4.19059,8.45097,13.121,1.11214,5.33913,9.543,14.2208,16.2566,18.9007,7.06183,11.1759,15.7857,25.4732,35.8835,47.8074,2006.19,2828.3,3774.07
193,0,0,0,4.15662,8.42352,13.0945,1.10424,5.34065,9.55397,14.1476,16.1578,18.7725,7.11151,11.1517,15.6787,25.4157,35.733,47.5457,1980.71,2792.41,3726.26
194,0,0,0,4.13187,8.40809,13.0836,1.10721,5.35821,9.58605,14.1557,16.1572,18.763,7.1868,11.1723,15.638,25.4744,35.7376,47.4846,1955.3,2756.68,3678.72
195,0,0,0,4.12788,8.41871,13.107,1.12522,5.39964,9.65069,14.2706,16.2841,18.9064,7.29315,11.2603,15.7054,25.6917,35.9631,47.7188,1929.82,2720.94,3631.23
196,0,0,0,4.15578,8.4699,13.1839,1.16232,5.47337,9.76067,14.518,16.5677,19.2369,7.43702,11.4374,15.9198,26.1108,36.475,48.3406,1904.13,2684.98,3583.51
197,0,0,0,4.22217,8.57124,13.327,1.22087,5.58535,9.9255,14.9091,17.0201,19.7677,7.62387,11.7155,16.3001,26.7552,37.3068,49.3947,1878.02,2648.5,3535.17
198,0,0,0,4.32539,8.72186,13.5349,1.29959,5.73515,10.1456,15.4262,17.6182,20.4696,7.85386,12.0872,16.8307,27.6054,38.4273,50.8352,1851.26,2611.2,3485.78
199,0,0,0,4.45425,8.90817,13.7898,1.39245,5.91345,10.4085,16.0159,18.2974,21.264,8.11722,12.5222,17.458,28.5874,39.7278,52.5118,1823.66,2572.77,3434.94
200,0,0,0,4.59069,9.10682,14.0611,1.48962,6.10306,10.6895,16.601,18.9649,22.0396,8.3937,12.9726,18.1031,29.5854,41.0443,54.2038,1795.07,2533.04,3382.43
201,0,0,0,4.71577,9.29222,14.3158,1.58023,6.28367,10.9592,17.1051,19.5313,22.6899,8.65713,13.3868,18.6864,30.478,42.2103,55.6921,1765.49,2492,3328.23
202,0,0,0,4.81619,9.44529,14.5289,1.65583,6.43818,11.1919,17.4798,19.9418,23.1522,8.88319,13.7268,19.154,31.1792,43.1139,56.8351,1735.01,2449.79,3272.54
203,0,0,0,4.88822,9.55892,14.6908,1.71263,6.55752,11.3732,17.7189,20.1931,23.4255,9.05655,13.9776,19.4917,31.6637,43.7297,57.6079,1703.83,2406.67,3215.7
204,0,0,0,4.93722,9.63786,14.8065,1.75169,6.64173,11.5021,17.853,20.3252,23.561,9.174,14.1478,19.7209,31.9642,44.1109,58.0884,1672.17,2362.94,3158.09
205,0,0,0,4.97369,9.69401,14.8898,1.77734,6.69772,11.5882,17.9303,20.398,23.6321,9.2432,14.2605,19.8823,32.1472,44.3525,58.4043,1640.2,2318.83,3100
206,0,0,0,5.00817,9.74016,14.9558,1.79503,6.73536,11.6456,17.9963,20.4657,23.7043,9.27808,14.3423,20.0168,32.2825,44.5481,58.6768,1608.05,2274.48,3041.6
207,0,0,0,5.04748,9.78534,15.0152,1.80946,6.76385,11.688,18.0806,20.5623,23.8171,9.29369,14.4151,20.1535,32.4218,44.7627,58.9858,1575.77,2229.93,2982.92
208,0,0,0,5.09338,9.83315,15.0733,1.82359,6.78944,11.7249,18.1953,20.7002,23.9835,9.30196,14.4915,20.3063,32.5906,45.0248,59.363,1543.35,2185.17,2923.94
209,0,0,0,5.14347,9.88269,15.1306,1.83831,6.81479,11.7607,18.339,20.876,24.1983,9.30981,14.575,20.4747,32.7923,45.3337,59.8036,1510.76,2140.14,2864.57
210,0,0,0,5.19307,9.93064,15.1851,1.85295,6.83954,11.7955,18.5039,21.0796,24.4485,9.31961,14.6622,20.6484,33.0166,45.6724,60.2821,1477.97,2094.81,2804.77
211,0,0,0,5.23734,9.97332,15.2336,1.86601,6.86175,11.8267,18.6807,21.3001,24.7212,9.33138,14.7449,20.8107,33.2494,46.0184,60.7656,1444.95,2049.14,2744.49
212,0,0,0,5.2728,10.0083,15.2733,1.87613,6.87947,11.852,18.8617,21.5289,25.0065,9.34516,14.8143,20.9424,33.4796,46.3515,61.2222,1411.7,2003.12,2683.72
213,0,0,0,5.29809,10.0349,15.3027,1.88261,6.8917,11.8699,19.0418,21.76,25.2975,9.3618,14.8627,21.0264,33.7016,46.6576,61.6266,1378.22,1956.77,2622.5
214,0,0,0,5.31401,10.0545,15.3224,1.88552,6.89861,11.8807,19.2173,21.9891,25.589,9.38206,14.8861,21.0533,33.9133,46.9297,61.9646,1344.52,1910.11,2560.87
215,0,0,0,5.32295,10.0702,15.3358,1.88529,6.90085,11.8854,19.3843,22.2108,25.8739,9.4044,14.884,21.0239,34.1116,47.1651,62.2336,1310.61,1863.18,2498.91
216,0,0,0,5.32807,10.0857,15.3488,1.88232,6.89891,11.8846,19.5374,22.4177,26.1426,9.42371,14.86,20.9513,34.2892,47.3635,62.4428,1276.49,1816.02,2436.68
217,0,0,0,5.33264,10.1047,15.3678,1.87676,6.89286,11.8781,19.6697,22.6002,26.3826,9.43217,14.8205,20.8581,34.4346,47.5254,62.6085,1242.21,1768.65,2374.23
218,0,0,0,5.33959,10.1301,15.3985,1.86884,6.88277,11.8658,19.7741,22.7483,26.5804,9.42228,14.7742,20.771,34.536,47.6527,62.7499,1207.77,1721.13,2311.62
219,0,0,0,5.35141,10.1637,15.4437,1.85919,6.86936,11.8488,19.8459,22.855,26.7264,9.39023,14.7306,20.7144,34.5875,47.7493,62.8845,1173.24,1673.47,2248.87
220,0,0,0,5.37048,10.2065,15.5033,1.84917,6.85455,11.8292,19.8855,22.9193,26.818,9.3376,14.6992,20.7068,34.5936,47.825,63.0281,1138.65,1625.72,2185.99
221,0,0,0,5.39959,10.2598,15.5759,1.8408,6.84134,11.8112,19.8996,22.9478,26.8624,9.27041,14.6891,20.7608,34.5696,47.8967,63.199,1104.05,1577.9,2122.96
222,0,0,0,5.44245,10.3258,15.6609,1.83652,6.83336,11.7996,19.8994,22.9535,26.8743,9.19625,14.7099,20.8878,34.5381,47.9892,63.4231,1069.48,1530,2059.76
223,0,0,0,5.50394,10.4088,15.7611,1.83899,6.83448,11.7994,19.899,22.9525,26.8727,9.12197,14.7724,21.1036,34.5249,48.1337,63.7374,1034.95,1482.01,1996.34
224,0,0,0,5.58979,10.5147,15.8829,1.85115,6.84874,11.8157,19.9124,22.9608,26.8761,9.05354,14.8905,21.4307,34.5557,48.366,64.1897,1000.42,1433.88,1932.6
225,0,0,0,5.70545,10.6496,16.0348,1.87627,6.8804,11.8537,19.9528,22.9928,26.9004,8.99791,15.0804,21.8957,34.6562,48.7228,64.8309,965.866,1385.51,1868.41
226,0,0,0,5.85409,10.8181,16.2244,1.91743,6.93343,11.9183,20.0311,23.0594,26.9571,8.96458,15.3568,22.5193,34.8497,49.2343,65.7008,931.21,1336.79,1803.58
227,0,0,0,6.03448,11.0199,16.454,1.9763,7.01007,12.0122,20.153,23.1662,27.052,8.96465,15.7267,23.3035,35.1521,49.9129,66.8095,896.36,1287.56,1737.88
228,0,0,0,6.2392,11.2483,16.7174,2.0514,7.10873,12.1339,20.3164,23.311,27.1824,9.00719,16.1811,24.2194,35.5628,50.7404,68.1192,861.208,1237.64,1671.07
229,0,0,0,6.45453,11.4894,16.9996,2.13714,7.22266,12.2754,20.5094,23.4823,27.337,9.09508,16.6915,25.2032,36.059,51.6632,69.5398,825.645,1186.9,1602.95
230,0,0,0,6.66246,11.7244,17.2789,2.22442,7.34058,12.4233,20.712,23.6615,27.4977,9.22338,17.2131,26.1655,36.5978,52.599,70.9421,789.586,1135.24,1533.41
231,0,0,0,6.84462,11.9337,17.5323,2.30314,7.44973,12.5622,20.902,23.8282,27.6455,9.38148,17.6954,27.011,37.1281,53.4572,72.1888,752.988,1082.64,1462.47
232,0,0,0,6.98665,12.1016,17.7414,2.36543,7.53997,12.68,21.0614,23.9663,27.7656,9.55737,18.0957,27.6629,37.6054,54.1636,73.1699,715.86,1029.18,1390.28
233,0,0,0,7.08133,12.2201,17.897,2.40776,7.60673,12.7708,21.1801,24.0667,27.85,9.74081,18.3893,28.0799,38.0022,54.6762,73.8269,678.255,975.021,1317.11
234,0,0,0,7.12935,12.2896,17.9993,2.43107,7.65122,12.8362,21.255,24.1264,27.8952,9.9232,18.5713,28.2614,38.3075,54.9873,74.1559,640.252,920.345,1243.28
235,0,0,0,7.1379,12.3176,18.0566,2.43899,7.67821,12.8821,21.2865,24.1438,27.8983,10.095,18.6517,28.2395,38.5193,55.1132,74.1944,601.945,865.357,1169.13
236,0,0,0,7.1182,12.3154,18.0812,2.43552,7.69285,12.9149,21.275,24.1173,27.8551,10.243,18.6489,28.0676,38.6362,55.0815,74.0038,563.426,810.244,1094.93
237,0,0,0,7.08331,12.2962,18.0867,2.42352,7.69846,12.9381,21.2201,24.0442,27.761,10.3509,18.5835,27.8081,38.6544,54.9239,73.6558,524.789,755.163,1020.93
238,0,0,0,7.0466,12.2733,18.0872,2.40458,7.69616,12.9525,21.1227,23.9242,27.6143,10.403,18.4778,27.5256,38.5722,54.6753,73.2271,486.135,700.239,947.275
239,0,0,0,7.02076,12.2596,18.0966,2.37967,7.68583,12.9568,20.987,23.7615,27.4192,10.3885,18.3545,27.2803,38.3962,54.3756,72.796,447.565,645.566,874.051
240,0,0,0,7.01638,12.2664,18.127,2.34995,7.66737,12.9498,20.8226,23.5668,27.1874,10.3061,18.2362,27.122,38.145,54.0694,72.4363,409.178,591.204,801.274
241,0,0,0,7.03983,12.3009,18.1864,2.31701,7.6415,12.9311,20.6436,23.356,26.9376,10.1648,18.1425,27.0815,37.8482,53.7994,72.2055,371.069,537.187,728.908
242,0,0,0,7.09077,12.3633,18.275,2.28262,7.60964,12.902,20.4671,23.1494,26.6933,9.98277,18.0852,27.1638,37.5407,53.5979,72.1321,333.332,483.55,656.923
243,0,0,0,7.16109,12.4456,18.3831,2.24826,7.57361,12.8646,20.3112,22.9686,26.4808,9.78471,18.0666,27.3463,37.257,53.4807,72.2102,296.105,430.407,585.409
244,0,0,0,7.23644,12.5326,18.4933,2.21495,7.53527,12.8214,20.1927,22.8345,26.3256,9.5979,18.0811,27.5865,37.0271,53.4482,72.4055,259.637,378.074,514.761
245,0,0,0,7.30062,12.607,18.5868,2.18332,7.49637,12.7755,20.1249,22.7636,26.2481,9.44728,18.1193,27.8362,36.8728,53.4899,72.6711,224.411,327.245,445.92
246,0,0,0,7.34137,12.6555,18.6494,2.15397,7.45873,12.7297,20.1134,22.7629,26.2569,9.34947,18.1717,28.057,36.8042,53.5901,72.9632,191.267,279.181,380.636
247,0,0,0,7.35481,12.674,18.6775,2.12781,7.42441,12.6875,20.1527,22.8248,26.3422,9.30769,18.2305,28.2284,36.8152,53.7293,73.2481,161.481,235.814,321.595
248,0,0,0,7.34664,12.6686,18.6783,2.10614,7.3957,12.6519,20.2239,22.9248,26.4732,9.31011,18.2878,28.3472,36.8807,53.8813,73.4988,136.728,199.668,272.304
249,0,0,0,7.32927,12.6524,18.6658,2.09051,7.37492,12.6261,20.298,23.0256,26.6031,9.33376,18.3345,28.4197,36.9611,54.0125,73.6886,118.842,173.499,236.58
250,0,0,0,7.31625,12.6398,18.655,2.08228,7.36398,12.6125,20.3448,23.0884,26.6835,9.35367,18.361,28.4537,37.0148,54.0892,73.7921,109.427,159.71,217.746
