a=8.131408977381707;b=-12.271644910766138;c=4.484570740943601;correlation coefficient=0.7183134805780956;p value=1.627518580233876e-11
1	0.3443
2	0.4383
3	0.4774
4	0.4582
5	0.4728
6	0.4217
7	0.7049
8	1.0922
9	1.4221
10	1.8010
11	2.2387
12	2.4369
13	2.5921
14	2.6889
15	2.7894
16	2.6582
17	2.7175
18	2.4207
19	2.5361
20	2.3604
21	2.4821
22	2.5364
23	2.3722
24	2.4910
25	2.4274
26	2.3650
27	2.3395
28	2.2758
29	2.3297
30	2.3605
31	2.5547
32	2.7469
33	2.9566
34	2.9604
35	2.8548
36	2.8895
37	3.1383
38	3.2101
39	3.1709
40	3.1574
41	3.1707
42	3.1921
43	3.2044
44	3.2109
45	3.2638
46	3.3282
47	3.3660
48	3.3667
49	3.4901
50	3.5871
51	3.6646
52	3.7089
53	3.7412
54	3.7004
55	3.6725
56	3.7562
57	3.8501
58	3.8158
59	3.7583
60	3.7843
61	4.1520
62	3.3270
63	3.2231
64	3.3777
65	3.3547
