a=7.33176054959837;b=-9.12886916911643;c=3.170655036190952;correlation coefficient=0.7920497688514107;p value=3.927872935374896e-15
1	1.3735	0.8715	1.8651
2	1.6484	1.1208	2.1665
3	1.8144	1.2836	2.3231
4	1.6930	1.1717	2.2019
5	1.9145	1.3808	2.4199
6	1.9650	1.4186	2.4759
7	1.6427	1.1346	2.1418
8	1.1596	0.7131	1.5873
9	0.9896	0.5772	1.4034
10	1.0707	0.6978	1.4534
11	0.8207	0.3464	1.2662
12	0.8234	0.3387	1.3061
13	1.0429	0.5342	1.5193
14	1.4124	0.9365	1.8361
15	2.0046	1.5671	2.4016
16	1.6128	1.1004	2.0627
17	1.7857	1.3547	2.1662
18	1.0996	0.6519	1.5316
19	1.7019	1.3582	2.0269
20	1.4760	1.0842	1.8402
21	1.8384	1.4380	2.1921
22	2.0552	1.6769	2.3792
23	1.8106	1.4598	2.1290
24	2.1692	1.9134	2.4167
25	1.9638	1.5760	2.3026
26	2.1369	1.8710	2.3906
27	2.1150	1.8565	2.3657
28	2.1050	1.8504	2.3530
29	2.3074	2.0797	2.5331
30	2.3040	2.0830	2.5249
31	2.5182	2.3124	2.7329
32	2.7582	2.5343	2.9767
33	2.9440	2.6817	3.2017
34	3.0523	2.8245	3.2817
35	2.9930	2.7937	3.2183
36	3.0497	2.8213	3.2772
37	3.3506	3.1186	3.6088
38	3.4042	3.1632	3.6652
39	3.2909	3.0634	3.5393
40	3.1973	2.9800	3.4334
41	3.2109	2.9833	3.4502
42	3.2206	2.9763	3.4772
43	3.1763	2.9113	3.4434
44	3.1056	2.8230	3.3872
45	3.1134	2.8483	3.3745
46	3.1752	2.9336	3.4270
47	3.2396	2.9927	3.4995
48	3.3609	3.1212	3.6155
49	3.5627	3.2928	3.8388
50	3.7531	3.4646	4.0522
51	3.9285	3.6009	4.2408
52	4.1561	3.7854	4.5095
53	4.2516	3.8712	4.6244
54	4.2631	3.8734	4.6467
55	4.1776	3.7996	4.5347
56	4.0663	3.7225	4.4082
57	4.1969	3.8205	4.5585
58	4.1502	3.7841	4.5044
59	4.1183	3.7564	4.4625
60	4.1750	3.8048	4.5152
61	4.8272	4.3586	5.2935
62	3.6967	3.3989	3.9866
63	3.6347	3.3369	3.9346
64	3.9960	3.6124	4.3670
65	3.7859	3.4698	4.0973
