a=0.07177623759868236;b=-0.07784695636809173;c=1.662358961964832;correlation coefficient=0.7159620288376563;p value=2.0317116650935983e-11
1	-0.3762	-1.9353	1.2504
2	0.8739	0.3725	1.3723
3	1.0955	0.5994	1.5873
4	1.1433	0.6590	1.6399
5	1.3068	0.7606	1.8260
6	1.3045	0.7077	1.8546
7	1.3618	0.7477	1.9308
8	1.4677	0.8551	2.0351
9	1.5353	0.9618	2.0717
10	1.6443	1.2014	2.0619
11	1.8113	1.4939	2.1343
12	1.8570	1.5568	2.1691
13	2.0541	1.7796	2.3537
14	2.2114	1.9552	2.4829
15	2.5507	2.3081	2.8093
16	2.4732	2.1543	2.8136
17	2.3929	2.1515	2.6455
18	2.0117	1.7227	2.3209
19	2.1955	1.9523	2.4619
20	2.1442	1.8868	2.4240
21	2.4271	2.1745	2.6981
22	2.5236	2.2790	2.7794
23	2.3335	2.0831	2.5984
24	2.3321	2.0953	2.5758
25	2.5581	2.2633	2.8681
26	2.3584	2.1248	2.5940
27	2.3712	2.1411	2.6128
28	2.3127	2.0779	2.5472
29	2.1926	1.9052	2.4865
30	2.2893	2.0485	2.5441
31	2.4498	2.2205	2.6805
32	2.5101	2.2643	2.7608
33	2.5348	2.2537	2.8375
34	2.7387	2.4846	2.9897
35	2.8047	2.5715	3.0383
36	2.7054	2.4436	2.9657
37	2.9736	2.7099	3.2238
38	3.0352	2.7678	3.2876
39	2.9841	2.7321	3.2244
40	2.9789	2.7381	3.2120
41	2.9729	2.7295	3.2083
42	2.8951	2.6366	3.1428
43	2.8116	2.5455	3.0710
44	2.6815	2.4051	2.9618
45	2.7856	2.5289	3.0335
46	2.9639	2.7231	3.1949
47	3.0135	2.7659	3.2497
48	3.1984	2.9430	3.4431
49	3.3380	3.0624	3.6018
50	3.5883	3.2674	3.8949
51	3.8034	3.4422	4.1617
52	4.1516	3.7203	4.5825
53	4.2506	3.7902	4.7079
54	4.3078	3.8331	4.7845
55	4.1271	3.6961	4.5393
56	3.7479	3.3974	4.0842
57	3.8645	3.4927	4.2280
58	3.8402	3.4802	4.1951
59	3.8697	3.4988	4.2300
60	3.9430	3.5539	4.3177
61	4.5882	4.0676	5.1020
62	3.7938	3.4084	4.1803
63	3.7780	3.3826	4.1912
64	4.2106	3.7047	4.7089
65	3.7595	3.3977	4.1215
