a=0.052800329129162125;b=-0.06140607199777056;c=2.2548484136114153;correlation coefficient=0.7288905261565192;p value=5.8331773226892125e-12
1	1.9803	1.3025	2.5926
2	2.1969	1.4814	2.8216
3	2.0914	1.4121	2.7092
4	2.0455	1.3674	2.6580
5	2.0445	1.3693	2.6534
6	1.7531	1.1028	2.3385
7	0.7097	0.1491	1.2337
8	0.0320	-0.5857	0.6387
9	0.2743	-0.3026	0.8655
10	0.8185	0.3569	1.3030
11	1.0642	0.5895	1.5940
12	1.1961	0.7484	1.6924
13	1.5583	1.1187	2.0167
14	1.9048	1.5266	2.3101
15	2.5107	2.1035	2.9096
16	2.1960	1.7966	2.6032
17	2.2542	1.9518	2.5716
18	1.5474	1.1800	1.9407
19	2.0165	1.7357	2.3258
20	1.8442	1.5291	2.1968
21	2.2584	1.9373	2.5900
22	2.4354	2.1232	2.7346
23	2.1385	1.8574	2.4460
24	2.3236	2.0850	2.5592
25	2.3757	2.0200	2.7176
26	2.3233	2.0502	2.5980
27	2.2877	2.0134	2.5674
28	2.2524	1.9887	2.5203
29	2.2394	1.9881	2.4772
30	2.2658	2.0212	2.4964
31	2.4987	2.2655	2.7047
32	2.6657	2.4240	2.8841
33	2.7731	2.5110	3.0062
34	2.9720	2.7249	3.2058
35	2.9809	2.7382	3.2248
36	2.9373	2.6904	3.1779
37	3.2658	2.9973	3.5361
38	3.2917	3.0241	3.5634
39	3.1712	2.9054	3.4392
40	3.0889	2.8329	3.3439
41	3.0780	2.8203	3.3331
42	3.0065	2.7291	3.2610
43	2.9256	2.6380	3.1843
44	2.8077	2.4948	3.0734
45	2.8926	2.6180	3.1457
46	2.9804	2.7116	3.2284
47	3.0355	2.7621	3.2875
48	3.2124	2.9411	3.4776
49	3.3939	3.1129	3.6763
50	3.6119	3.3004	3.9261
51	3.8396	3.4940	4.1953
52	4.0841	3.6943	4.4986
53	4.1961	3.7892	4.6300
54	4.2720	3.8464	4.7325
55	4.1425	3.7422	4.5626
56	3.7868	3.4449	4.1373
57	3.9119	3.5494	4.2842
58	3.8534	3.5041	4.2166
59	3.8519	3.5030	4.2105
60	3.9126	3.5503	4.2779
61	4.5535	4.0994	5.0428
62	3.5834	3.2705	3.8903
63	3.5862	3.2609	3.9078
64	3.9817	3.5920	4.3839
65	3.6733	3.3536	4.0052
