window width = 16
9.0	0.7055	0.001556
10.0	0.5310	0.028285
11.0	0.4845	0.048741
12.0	0.4569	0.065215
13.0	0.4013	0.110364
14.0	0.3356	0.187911
15.0	0.2333	0.367451
16.0	0.0297	0.910002
17.0	0.0175	0.946955
18.0	0.1059	0.685755
19.0	0.1579	0.545047
20.0	0.1500	0.565518
21.0	0.2649	0.304137
22.0	0.3296	0.196432
23.0	0.4440	0.074199
24.0	0.5510	0.021896
25.0	0.7460	0.000585
26.0	0.8134	0.000072
27.0	0.8776	0.000004
28.0	0.8934	0.000001
29.0	0.9051	0.000001
30.0	0.9124	0.000000
31.0	0.9110	0.000000
32.0	0.8681	0.000006
33.0	0.8654	0.000007
34.0	0.8563	0.000011
35.0	0.8442	0.000020
36.0	0.8246	0.000047
37.0	0.7948	0.000138
38.0	0.7517	0.000502
39.0	0.7218	0.001071
40.0	0.6507	0.004678
41.0	0.6698	0.003266
42.0	0.7804	0.000219
43.0	0.8401	0.000024
44.0	0.8704	0.000006
45.0	0.7894	0.000165
46.0	0.6334	0.006337
47.0	0.4178	0.095197
48.0	0.3421	0.178987
49.0	0.1101	0.674015
50.0	-0.1047	0.689100
51.0	-0.2499	0.333331
52.0	-0.3589	0.157182
53.0	-0.4731	0.055084
54.0	-0.3856	0.126327
55.0	-0.2517	0.329766
56.0	-0.1404	0.590893
57.0	-0.0691	0.792098
