window width = 16
9.0	0.2645	0.304850
10.0	0.1748	0.502278
11.0	0.2787	0.278676
12.0	0.3536	0.163827
13.0	0.3794	0.133105
14.0	0.4020	0.109677
15.0	0.4368	0.079578
16.0	0.3488	0.169963
17.0	0.3444	0.175890
18.0	0.3790	0.133547
19.0	0.3574	0.159029
20.0	0.2845	0.268406
21.0	0.2141	0.409194
22.0	0.1370	0.600046
23.0	0.2265	0.382028
24.0	0.3381	0.184445
25.0	0.4974	0.042182
26.0	0.6320	0.006490
27.0	0.8497	0.000016
28.0	0.8773	0.000004
29.0	0.9082	0.000000
30.0	0.9104	0.000000
31.0	0.9281	0.000000
32.0	0.9035	0.000001
33.0	0.9076	0.000000
34.0	0.8970	0.000001
35.0	0.8675	0.000006
36.0	0.7906	0.000158
37.0	0.7070	0.001507
38.0	0.6321	0.006477
39.0	0.5239	0.030895
40.0	0.4294	0.085392
41.0	0.4394	0.077640
42.0	0.5546	0.020870
43.0	0.7213	0.001083
44.0	0.7124	0.001332
45.0	0.6198	0.007956
46.0	0.4162	0.096571
47.0	0.2439	0.345482
48.0	0.2318	0.370750
49.0	0.1633	0.531207
50.0	0.0823	0.753553
51.0	-0.0121	0.963354
52.0	-0.1077	0.680639
53.0	-0.2740	0.287215
54.0	-0.3027	0.237568
55.0	-0.3212	0.208656
56.0	-0.3711	0.142482
57.0	-0.3280	0.198755
